id,pic_id,age,male,college,orientation,friend_request,char_positivity,char_outgoing,char_open,char_friendly,char_discipline,char_social,char_economic,rating,face,nose,eyes,mouth,overall_feature,skin,hair,color,acne,glasses,double_eyelid,thick_eyebrow,thick_lip,face_shape,long_hair
224,4,23,0,5,1,2,3,4,4,4,3,3,3,5,4,2,2,4,3,5,5,fair,0,1,1,0,0,long,0
224,5,23,0,5,1,2,3,3,2,2,1,4,5,6,3,3,4,4,4,3,3,fair,0,0,1,0,0,round,1
224,6,23,0,5,1,2,2,1,1,1,4,3,3,3,3,4,2,3,3,4,4,healthy,0,0,0,0,0,long,1
225,7,31,1,1,1,2,2,1,4,2,1,1,2,2,2,2,2,2,2,2,2,healthy,1,1,1,1,1,square,0
225,8,31,1,1,1,3,4,4,4,4,4,4,4,6,4,4,4,4,4,4,2,healthy,0,0,1,0,0,square,0
225,9,31,1,1,1,2,1,1,3,2,2,4,3,4,3,3,2,3,3,3,3,black,1,0,0,1,1,square,1
225,10,31,1,1,1,3,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,fair,0,0,1,0,0,round,1
225,11,31,1,1,1,2,4,4,4,4,2,2,2,5,3,3,3,3,3,3,3,healthy,0,0,1,0,1,round,1
225,12,31,1,1,1,4,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,fair,0,0,1,0,0,long,0
226,1,22,0,4,1,2,3,3,3,3,3,3,3,8,3,3,4,4,3,3,3,black,0,0,1,0,0,long,1
226,2,22,0,4,1,1,3,3,3,3,3,3,4,6,3,3,3,3,3,3,3,healthy,0,1,0,1,0,square,0
226,3,22,0,4,1,2,3,3,3,3,3,4,4,6,3,3,3,3,3,3,3,healthy,0,0,0,0,0,square,0
226,4,22,0,4,1,2,3,3,3,3,3,3,3,7,3,4,3,4,3,4,4,fair,0,1,1,0,0,long,0
226,5,22,0,4,1,2,3,3,3,3,4,4,3,6,4,4,3,3,3,3,4,fair,0,0,1,0,0,round,1
226,6,22,0,4,1,2,3,3,3,3,3,3,3,5,3,3,3,4,3,3,3,healthy,0,0,0,0,0,long,1
227,1,25,1,3,1,2,2,2,2,3,3,2,2,3,2,2,2,2,2,3,2,black,0,0,1,0,0,long,1
227,2,25,1,3,1,1,3,3,3,4,4,2,3,3,2,1,2,2,2,2,2,healthy,0,1,0,1,0,square,0
227,3,25,1,3,1,1,3,2,3,4,4,4,4,5,4,3,2,2,3,4,3,healthy,0,0,0,0,0,square,0
227,4,25,1,3,1,3,4,3,3,2,3,3,3,7,4,3,2,3,4,4,4,fair,0,1,1,0,0,long,0
227,5,25,1,3,1,3,4,3,4,3,4,3,4,8,4,3,4,4,4,4,4,fair,0,0,1,0,0,round,1
227,6,25,1,3,1,2,2,2,3,2,4,3,3,3,2,2,2,2,2,3,3,healthy,0,0,0,0,0,long,1
228,7,19,1,7,1,2,3,3,2,4,2,3,3,5,4,4,4,3,2,1,1,healthy,1,1,1,1,1,square,0
228,8,19,1,7,1,3,2,4,4,4,2,3,4,8,3,4,5,4,4,4,5,healthy,0,0,1,0,0,square,0
228,9,19,1,7,1,1,2,4,4,2,3,2,3,5,3,3,1,1,2,2,1,black,1,0,0,1,1,square,1
228,10,19,1,7,1,3,4,4,3,4,4,4,5,7,4,3,5,4,5,5,4,fair,0,0,1,0,0,round,1
228,11,19,1,7,1,1,4,4,3,2,4,1,2,4,2,3,1,2,1,2,1,healthy,0,0,1,0,1,round,1
228,12,19,1,7,1,4,4,3,1,3,4,5,5,8,5,5,4,3,3,4,4,fair,0,0,1,0,0,long,0
229,1,22,1,7,1,2,2,3,3,2,2,2,2,6,3,3,3,3,3,3,3,black,0,0,1,0,0,long,1
229,2,22,1,7,1,2,2,3,3,2,3,3,3,6,3,3,3,3,3,3,3,healthy,0,1,0,1,0,square,0
229,3,22,1,7,1,2,2,3,3,3,3,4,3,7,3,3,3,3,3,3,3,healthy,0,0,0,0,0,square,0
229,4,22,1,7,1,2,2,2,2,2,2,2,2,5,3,3,3,3,3,3,3,fair,0,1,1,0,0,long,0
229,5,22,1,7,1,2,2,2,3,2,3,3,3,5,3,3,3,3,3,3,3,fair,0,0,1,0,0,round,1
229,6,22,1,7,1,2,2,2,2,2,2,2,2,4,3,3,3,3,3,3,3,healthy,0,0,0,0,0,long,1
230,1,19,1,1,1,2,3,3,4,2,1,5,5,7,4,4,5,3,4,3,4,black,0,0,1,0,0,long,1
230,2,19,1,1,1,1,4,5,2,4,4,5,5,4,2,2,2,3,3,2,1,healthy,0,1,0,1,0,square,0
230,3,19,1,1,1,1,3,3,3,5,3,4,4,5,4,2,2,2,3,3,4,healthy,0,0,0,0,0,square,0
230,4,19,1,1,1,2,3,4,4,3,1,3,3,5,3,2,2,3,3,4,4,fair,0,1,1,0,0,long,0
230,5,19,1,1,1,2,3,3,3,3,4,4,4,6,3,4,3,2,3,3,2,fair,0,0,1,0,0,round,1
230,6,19,1,1,1,2,2,2,3,2,4,3,3,4,3,3,2,2,2,3,2,healthy,0,0,0,0,0,long,1
231,7,19,0,6,3,2,3,3,2,2,3,3,3,4,3,3,3,2,2,2,2,healthy,1,1,1,1,1,square,0
231,8,19,0,6,3,3,4,4,4,4,3,3,4,7,3,3,4,4,4,4,3,healthy,0,0,1,0,0,square,0
231,9,19,0,6,3,2,3,3,4,3,2,3,3,4,3,3,2,2,2,3,2,black,1,0,0,1,1,square,1
231,10,19,0,6,3,2,4,4,3,4,4,4,3,6,3,3,3,3,3,4,3,fair,0,0,1,0,0,round,1
231,11,19,0,6,3,2,4,4,4,4,3,3,3,6,3,3,3,3,3,3,3,healthy,0,0,1,0,1,round,1
231,12,19,0,6,3,2,4,3,3,4,4,4,4,7,3,3,3,3,4,4,4,fair,0,0,1,0,0,long,0
232,1,22,1,7,2,3,3,3,2,2,2,2,2,6,3,2,2,2,3,2,2,black,0,0,1,0,0,long,1
232,2,22,1,7,2,3,3,2,2,2,3,3,2,6,3,3,3,3,2,2,2,healthy,0,1,0,1,0,square,0
232,3,22,1,7,2,4,3,3,3,3,2,2,2,6,3,3,3,3,3,2,2,healthy,0,0,0,0,0,square,0
